Age,Gender,Speed_of_Impact,Helmet_Used,Seatbelt_Used,Survived
26,Female,49,Yes,Yes,0
25,Female,38,Yes,Yes,0
29,Female,36,Yes,No,0
51,Male,82,Yes,Yes,1
50,Male,38,No,Yes,1
65,Female,111,No,Yes,1
40,Male,77,Yes,Yes,1
41,Male,74,No,Yes,1
54,Male,109,Yes,No,0
52,Male,109,No,Yes,1
61,Male,81,Yes,Yes,1
57,Male,42,Yes,Yes,1
39,Female,28,Yes,Yes,0
44,Female,31,Yes,Yes,1
52,Male,20,Yes,No,1
18,Female,77,Yes,Yes,0
52,Female,20,No,No,1
54,Female,53,Yes,No,0
64,Female,115,No,Yes,0
31,Male,67,Yes,Yes,0
20,Female,108,No,Yes,0
18,Female,20,No,Yes,0
22,Male,35,No,No,1
43,Male,80,Yes,Yes,0
31,Female,83,Yes,Yes,0
56,Female,82,No,Yes,1
44,Female,88,Yes,Yes,0
26,Female,41,No,Yes,1
32,Female,112,Yes,Yes,1
32,Female,86,No,No,1
43,Male,95,No,No,0
59,Female,45,Yes,Yes,0
30,Female,35,No,Yes,0
68,Male,70,Yes,Yes,1
49,Male,105,No,No,0
56,Male,76,No,Yes,0
66,Male,48,Yes,No,0
69,Female,97,Yes,Yes,1
49,Female,111,Yes,Yes,1
21,Female,88,No,Yes,0
47,Female,66,Yes,Yes,0
54,Female,113,No,No,0
40,Female,81,No,No,0
56,Male,88,Yes,Yes,1
62,Female,95,Yes,Yes,1
32,Male,35,No,No,1
60,Male,109,No,No,1
46,Female,109,Yes,No,0
53,Male,67,Yes,No,0
30,Female,104,Yes,Yes,0
49,Male,58,Yes,No,1
24,Female,119,Yes,Yes,0
68,Male,52,No,No,1
39,Female,113,No,No,1
45,Female,42,No,No,0
19,Female,29,No,No,0
59,Female,88,Yes,No,0
62,Female,119,Yes,Yes,1
23,Male,53,Yes,Yes,0
45,Male,71,No,No,1
45,Male,114,No,No,0
61,Female,29,Yes,Yes,1
61,Male,38,Yes,No,1
37,Female,77,No,No,0
47,Female,115,No,Yes,1
28,Male,20,Yes,No,1
45,Male,88,Yes,No,0
42,Female,23,No,Yes,1
56,Male,35,Yes,Yes,0
50,Female,43,Yes,Yes,1
18,Female,99,Yes,No,0
44,Female,21,No,Yes,0
69,Female,111,No,Yes,1
30,Female,51,No,Yes,1
58,Male,110,No,Yes,1
20,Male,103,No,Yes,1
56,Female,43,No,Yes,1
25,Male,51,No,No,0
20,Male,30,No,Yes,0
18,Male,105,Yes,No,0
73,Female,30,No,No,0
37,Male,46,Yes,Yes,1
26,Male,28,No,Yes,1
62,Male,21,No,Yes,0
79,Female,65,Yes,Yes,1
64,Female,67,No,No,0
44,Male,65,No,No,0
47,Female,35,No,No,0
58,Female,48,Yes,Yes,1
65,Male,92,Yes,No,0
77,Female,111,Yes,No,0
47,Female,118,Yes,No,0
25,Male,62,No,Yes,0
66,Female,113,Yes,No,0
67,Female,49,Yes,Yes,1
57,Female,33,No,Yes,1
33,Male,65,No,No,1
31,Male,79,Yes,No,0
36,Male,84,No,Yes,0
55,Female,99,Yes,Yes,0
34,Female,88,Yes,No,0
35,Male,84,Yes,Yes,1
28,Female,47,Yes,Yes,0
47,Female,61,Yes,Yes,0
70,Male,58,Yes,Yes,1
58,Male,61,No,No,1
43,Female,55,Yes,No,1
18,Male,52,Yes,Yes,1
28,Male,107,No,Yes,0
29,Female,85,Yes,No,0
63,Male,39,No,Yes,0
69,Female,68,No,No,0
19,Male,70,Yes,No,0
42,Male,61,Yes,No,1
71,Female,46,No,No,0
30,Female,97,Yes,Yes,0
42,Female,119,Yes,Yes,1
23,Female,35,No,No,1
45,Female,31,No,No,1
54,Male,48,Yes,No,0
65,Male,92,Yes,No,0
22,Female,117,Yes,Yes,0
52,Female,98,Yes,No,0
58,Female,47,Yes,Yes,0
29,Male,86,Yes,Yes,0
41,Male,92,Yes,No,0
67,Male,111,No,No,0
75,Male,32,No,Yes,0
60,Female,52,No,Yes,0
39,Male,72,Yes,Yes,1
67,Male,45,No,No,1
63,Female,112,Yes,Yes,1
58,Male,45,No,Yes,0
57,Female,72,Yes,No,0
55,Male,37,No,Yes,1
54,Female,48,No,Yes,0
77,Male,74,No,Yes,0
58,Male,74,Yes,Yes,1
65,Female,64,No,Yes,1
31,Female,100,No,No,0
79,Male,76,Yes,Yes,1
73,Male,39,No,No,0
48,Male,40,No,Yes,0
36,Male,47,No,No,0
50,Male,41,Yes,Yes,0
53,Female,112,Yes,Yes,1
74,Male,56,Yes,No,0
45,Female,92,Yes,No,0
76,Female,73,Yes,Yes,0
76,Male,90,Yes,Yes,1
25,Female,23,No,Yes,1
42,Male,76,Yes,Yes,1
40,Male,75,Yes,Yes,1
75,Male,64,No,Yes,0
27,Female,106,Yes,No,0
46,Female,120,No,No,0
34,Male,79,No,Yes,0
40,Male,100,No,Yes,0
32,Female,78,Yes,No,0
38,Female,73,Yes,Yes,0
40,Male,45,Yes,No,1
27,Male,91,Yes,Yes,1
22,Female,29,No,Yes,1
25,Female,61,Yes,Yes,1
39,Male,88,No,Yes,0
29,Male,51,Yes,Yes,1
29,Male,72,Yes,No,0
31,Female,84,Yes,No,0
62,Female,85,Yes,Yes,1
74,Male,115,No,Yes,0
27,Female,47,Yes,No,0
58,Female,70,Yes,Yes,1
30,Male,31,No,Yes,0
68,Male,77,No,Yes,0
59,Female,76,Yes,No,0
47,Female,30,No,Yes,0
26,Male,30,No,No,1
33,Female,54,Yes,No,0
68,Male,80,Yes,Yes,0
63,Male,42,Yes,No,1
40,Male,58,Yes,Yes,0
28,Male,92,Yes,No,0
38,Female,73,Yes,No,0
69,Male,43,Yes,No,1
50,Female,111,Yes,No,0
46,Male,64,Yes,Yes,1
52,Female,93,Yes,No,1
60,Female,101,Yes,No,0
63,Male,51,No,No,1
21,Male,57,Yes,No,0
20,Male,46,Yes,Yes,1
45,Male,41,Yes,No,0
28,Male,47,Yes,Yes,1
34,Male,44,Yes,Yes,1
33,Male,74,Yes,Yes,0
32,Female,29,No,No,1
60,Female,112,No,Yes,0
76,Female,80,No,No,1
21,Female,95,Yes,Yes,1
20,Male,71,Yes,No,0
73,Female,53,Yes,No,1
53,Female,80,Yes,Yes,1
25,Female,109,No,No,0
24,Female,97,Yes,Yes,0
79,Male,27,No,No,1
59,Male,85,No,Yes,0
26,Male,118,No,Yes,0
33,Male,50,No,Yes,1
40,Male,84,Yes,Yes,1
65,Female,90,No,Yes,1
55,Male,74,No,No,0
26,Female,100,Yes,Yes,1
27,Male,77,Yes,No,0
64,Male,31,No,Yes,0
20,Female,83,Yes,No,0
34,Male,113,Yes,Yes,0
48,Female,22,No,Yes,1
27,Female,31,No,Yes,0
35,Female,97,Yes,Yes,0
20,Male,50,Yes,No,1
48,Female,87,No,Yes,0
20,Female,97,Yes,Yes,1
63,Male,22,No,Yes,0
24,Male,38,No,No,0
69,Male,46,Yes,Yes,1
73,Male,46,Yes,Yes,1
18,Female,25,No,Yes,1
32,Female,98,Yes,Yes,1
57,Female,39,No,Yes,1
36,Female,85,Yes,No,0
72,Male,105,Yes,No,0
38,Male,26,No,No,0
34,Male,37,No,No,1
22,Male,37,No,Yes,0
78,Female,104,No,Yes,1
63,Female,20,No,Yes,0
68,Male,29,No,Yes,1
56,Male,57,Yes,Yes,1
24,Female,45,No,No,0
57,Female,73,Yes,Yes,1
36,Male,74,Yes,Yes,1
33,Female,55,Yes,Yes,1
24,Female,56,Yes,No,1
76,Male,48,No,No,0
68,Female,79,Yes,No,0
24,Female,22,No,No,0
53,Male,40,No,No,0
22,Female,109,Yes,No,0
59,Female,60,Yes,Yes,1
79,Female,68,Yes,No,0
36,Female,89,Yes,Yes,0
75,Female,61,No,No,0
53,Male,80,No,Yes,0
47,Male,24,No,No,1
39,Female,55,Yes,No,0
66,Female,80,Yes,Yes,0
62,Male,59,No,No,0
45,Male,119,Yes,Yes,0
38,Male,59,Yes,Yes,1
26,Female,92,No,No,0
24,Male,44,Yes,Yes,1
52,Female,98,Yes,No,0
25,Male,54,No,Yes,1
20,Female,50,No,Yes,0
38,Female,100,Yes,Yes,0
30,Female,108,Yes,Yes,1
41,Female,30,No,No,0
49,Female,42,Yes,No,0
68,Female,52,Yes,Yes,1
39,Male,96,Yes,No,0
19,Male,90,No,No,0
57,Female,23,No,No,0
79,Male,108,Yes,No,0
20,Male,108,Yes,Yes,0
37,Male,57,Yes,No,0
39,Male,81,Yes,No,0
39,Male,118,Yes,No,0
43,Female,101,Yes,Yes,0
61,Male,109,Yes,No,0
62,Female,59,No,Yes,0
76,Male,69,No,Yes,0
62,Male,87,Yes,Yes,1
77,Male,113,Yes,No,0
39,Female,96,No,Yes,1
34,Male,119,Yes,Yes,0
23,Male,51,No,No,0
64,Female,83,Yes,No,0
79,Female,57,No,No,1
70,Male,52,No,No,0
67,Female,27,No,Yes,1
77,Male,61,No,No,0
63,Male,32,No,Yes,1
33,Male,78,Yes,Yes,1
19,Female,67,Yes,Yes,1
59,Female,113,No,No,0
34,Female,67,Yes,No,0
55,Male,73,Yes,Yes,0
34,Female,69,No,Yes,0
46,Female,101,No,Yes,0
77,Male,64,Yes,Yes,1
65,Female,64,Yes,Yes,1
29,Female,66,Yes,No,0
64,Male,44,Yes,No,0
44,Male,43,Yes,Yes,1
31,Female,91,Yes,No,0
78,Male,28,No,Yes,1
71,Male,41,Yes,No,1
27,Male,54,No,Yes,0
40,Male,39,No,No,0
65,Female,33,No,No,0
26,Male,45,No,Yes,0
22,Male,75,No,Yes,0
20,Male,79,Yes,No,0
75,Male,87,Yes,Yes,0
70,Male,119,Yes,Yes,1
49,Male,113,Yes,No,0
54,Male,33,No,Yes,1
21,Female,96,No,Yes,0
27,Male,119,Yes,Yes,0
38,Female,92,Yes,No,1
37,Male,90,Yes,Yes,1
53,Female,71,Yes,Yes,0
39,Male,20,No,No,0
56,Female,49,Yes,No,1
76,Female,21,No,No,0
59,Female,47,Yes,Yes,0
66,Female,58,Yes,Yes,1
29,Female,26,No,Yes,0
40,Male,40,No,Yes,1
26,Male,83,No,No,0
72,Female,67,Yes,Yes,1
18,Female,108,Yes,Yes,0
74,Female,107,Yes,Yes,1
68,Female,59,Yes,No,0
24,Female,77,No,No,0
28,Male,102,Yes,Yes,1
58,Female,42,Yes,No,0
29,Female,83,Yes,Yes,1
18,Female,22,No,No,0
60,Female,39,No,No,1
49,Male,97,Yes,Yes,1
76,Male,39,No,Yes,0
34,Female,113,Yes,Yes,0
51,Male,88,Yes,No,1
60,Female,97,Yes,No,0
68,Male,91,Yes,Yes,1
43,Female,35,No,Yes,1
46,Male,33,No,No,0
39,Male,75,No,Yes,1
33,Male,115,No,No,0
46,Female,34,No,Yes,1
22,Male,104,Yes,Yes,0
27,Male,25,No,No,0
58,Male,80,No,No,0
53,Male,100,No,Yes,0
23,Female,36,No,No,1
28,Male,115,Yes,No,0
23,Female,59,Yes,No,0
27,Male,113,No,Yes,0
27,Female,115,Yes,Yes,0
40,Female,37,No,Yes,0
21,Female,119,No,No,0
48,Male,30,No,Yes,0
71,Male,91,No,No,0
46,Male,51,Yes,No,1
52,Female,67,Yes,Yes,1
37,Female,60,Yes,No,0
25,Male,58,No,Yes,0
38,Female,55,Yes,Yes,1
47,Male,117,Yes,Yes,0
56,Male,32,No,Yes,1
47,Male,57,No,Yes,0
21,Female,107,Yes,Yes,1
63,Male,84,No,Yes,0
73,Female,65,No,Yes,0
69,Female,84,No,No,0
53,Male,59,No,Yes,1
19,Female,56,Yes,Yes,1
32,Female,90,Yes,No,0
74,Female,108,No,No,0
52,Male,77,Yes,Yes,0
64,Female,27,No,Yes,0
68,Male,33,No,Yes,1
61,Male,34,No,No,0
51,Female,51,Yes,No,1
23,Male,61,Yes,No,0
32,Male,22,No,No,1
49,Female,50,No,No,0
64,Female,74,Yes,Yes,1
64,Female,56,No,Yes,0
23,Male,48,Yes,No,1
66,Male,62,Yes,No,1
51,Male,111,Yes,Yes,1
60,Male,62,No,Yes,0
34,Female,75,No,No,1
75,Female,86,Yes,No,0
31,Female,23,No,Yes,0
31,Male,51,Yes,No,1
44,Female,102,Yes,Yes,1
42,Male,28,No,Yes,0
72,Male,43,Yes,Yes,1
33,Female,46,Yes,No,0
50,Female,34,No,Yes,0
38,Male,24,No,No,1
62,Male,102,No,Yes,0
36,Female,50,No,No,1
39,Male,49,Yes,Yes,1
39,Female,55,Yes,Yes,1
64,Male,46,No,No,1
23,Male,75,No,Yes,0
40,Male,61,Yes,No,0
75,Female,108,Yes,Yes,1
18,Female,59,Yes,No,0
32,Female,94,Yes,No,1
25,Female,100,Yes,No,0
52,Male,31,No,No,0
30,Male,68,Yes,No,1
52,Female,66,No,Yes,1
30,Female,36,No,No,0
20,Male,88,Yes,Yes,1
26,Male,46,No,Yes,0
59,Male,89,Yes,No,0
47,Female,109,Yes,Yes,0
74,Female,43,No,No,1
44,Male,44,No,No,1
49,Female,79,Yes,No,0
31,Male,22,No,No,0
20,Female,59,No,Yes,0
23,Male,39,No,Yes,0
64,Female,83,No,Yes,0
78,Female,38,No,No,0
79,Female,44,No,No,0
36,Male,81,Yes,No,0
29,Male,56,No,No,0
42,Female,98,Yes,Yes,1
35,Female,56,No,No,0
26,Female,64,Yes,Yes,0
24,Male,98,Yes,Yes,0
61,Male,63,Yes,Yes,1
60,Male,94,Yes,No,0
31,Female,110,Yes,No,0
24,Female,46,No,No,1
52,Female,111,No,No,0
60,Female,66,Yes,Yes,0
47,Female,45,No,No,1
38,Female,80,No,No,0
20,Female,54,Yes,Yes,0
25,Female,29,No,Yes,0
44,Male,50,No,No,0
45,Female,93,Yes,No,0
26,Female,35,No,No,1
40,Female,114,Yes,Yes,0
73,Male,78,No,Yes,0
64,Male,78,Yes,Yes,1
27,Male,110,Yes,Yes,1
43,Female,86,Yes,Yes,0
53,Male,84,No,Yes,0
59,Female,41,Yes,Yes,1
63,Female,78,Yes,Yes,1
22,Male,34,No,No,1
22,Female,87,Yes,No,0
36,Female,107,Yes,Yes,0
29,Female,57,Yes,Yes,1
70,Male,103,Yes,No,0
78,Male,26,No,No,1
68,Female,54,Yes,Yes,1
55,Female,91,No,No,0
52,Male,57,Yes,Yes,1
20,Male,46,No,Yes,1
64,Female,32,No,No,0
26,Male,116,Yes,No,0
55,Male,46,Yes,No,1
45,Male,71,No,Yes,0
19,Female,65,Yes,No,0
32,Female,85,Yes,Yes,0
38,Female,66,Yes,Yes,1
79,Female,75,No,No,0
59,Male,67,Yes,Yes,0
48,Male,115,Yes,Yes,0
49,Female,70,Yes,Yes,1
50,Male,102,No,No,0
63,Male,96,Yes,No,1
57,Male,65,Yes,Yes,1
75,Male,20,No,Yes,0
62,Male,60,Yes,Yes,0
47,Female,66,Yes,No,0
26,Male,117,Yes,Yes,0
36,Female,36,No,Yes,1
24,Female,90,No,No,0
36,Male,92,No,No,0
68,Female,22,No,Yes,1
56,Male,99,Yes,Yes,0
68,Female,62,Yes,Yes,1
43,Female,69,Yes,No,0
45,Male,105,No,No,0
41,Female,54,Yes,Yes,1
44,Female,112,Yes,No,0
51,Male,84,Yes,Yes,1
55,Female,50,Yes,No,0
77,Male,55,Yes,No,1
24,Female,120,Yes,Yes,0
56,Male,36,No,No,0
68,Male,27,No,No,1
23,Female,101,Yes,Yes,1
41,Male,58,No,No,1
52,Male,77,Yes,Yes,1
66,Female,87,Yes,No,0
73,Female,68,Yes,No,0
55,Male,105,Yes,No,0
32,Female,50,Yes,No,1
59,Male,111,Yes,Yes,1
58,Male,45,Yes,Yes,1
55,Male,106,Yes,No,0
27,Male,27,No,Yes,1
79,Male,103,Yes,Yes,0
70,Male,71,Yes,No,1
60,Female,34,No,No,0
33,Male,48,Yes,No,1
62,Male,29,No,Yes,0
20,Male,95,Yes,Yes,0
65,Male,95,Yes,No,0
50,Female,96,No,No,0
51,Male,83,No,No,0
78,Female,31,No,No,1
66,Male,50,Yes,No,1
53,Male,93,Yes,Yes,0
53,Male,38,No,No,0
60,Male,38,No,Yes,0
67,Female,22,No,No,0
71,Female,35,No,Yes,0
23,Male,40,No,Yes,0
63,Female,73,No,Yes,0
20,Female,109,Yes,Yes,0
51,Male,90,Yes,No,0
74,Female,60,Yes,No,0
67,Female,78,No,No,1
20,Male,118,Yes,No,0
52,Male,50,Yes,No,1
48,Female,33,No,No,0
25,Female,51,No,No,1
63,Male,80,No,Yes,0
71,Female,70,Yes,No,1
38,Female,34,No,Yes,1
32,Female,27,No,Yes,1
78,Male,37,No,No,1
19,Male,71,No,No,1
21,Male,67,Yes,Yes,1
51,Female,76,No,Yes,0
45,Male,63,No,Yes,1
36,Male,116,Yes,No,0
21,Male,118,Yes,Yes,1
33,Male,42,No,No,1
72,Female,103,No,No,0
41,Male,92,No,Yes,0
35,Female,115,Yes,Yes,1
75,Male,96,No,No,0
74,Male,89,No,Yes,0
42,Female,82,Yes,No,0
64,Female,93,Yes,No,0
75,Female,102,Yes,Yes,1
60,Female,77,Yes,No,0
62,Male,116,Yes,Yes,0
47,Male,22,No,Yes,0
58,Female,51,Yes,No,0
67,Male,99,No,No,0
28,Male,31,No,No,1
65,Female,38,No,Yes,0
40,Female,23,No,Yes,1
65,Female,56,Yes,Yes,0
31,Male,25,No,Yes,1
78,Female,59,Yes,Yes,1
57,Male,23,No,No,0
36,Female,54,Yes,No,0
28,Female,82,Yes,Yes,0
67,Female,43,Yes,No,0
66,Female,33,No,No,0
58,Male,23,No,No,0
22,Female,50,Yes,No,0
70,Female,30,No,No,0
73,Female,110,Yes,No,0
31,Female,96,Yes,Yes,0
20,Female,82,Yes,No,0
35,Female,107,Yes,No,0
49,Female,88,Yes,Yes,1
55,Male,97,Yes,No,1
43,Female,37,No,Yes,0
19,Female,65,Yes,Yes,1
64,Female,99,Yes,Yes,1
30,Female,50,No,No,0
55,Male,24,No,No,1
53,Female,81,Yes,Yes,0
61,Male,76,No,Yes,0
40,Female,111,No,No,0
65,Female,57,Yes,Yes,1
77,Male,25,No,Yes,0
60,Female,116,Yes,No,0
61,Male,36,No,No,0
79,Female,120,Yes,No,0
69,Male,24,No,Yes,0
19,Male,100,Yes,Yes,1
67,Female,69,Yes,Yes,0
33,Female,70,Yes,Yes,1
55,Male,113,No,Yes,0
29,Male,92,Yes,No,0
68,Female,75,Yes,No,0
73,Female,114,Yes,Yes,1
23,Male,72,No,Yes,0
68,Male,90,Yes,Yes,1
57,Female,101,No,Yes,0
57,Female,63,No,No,0
35,Female,112,No,Yes,0
42,Female,78,No,Yes,0
31,Female,104,Yes,Yes,1
50,Female,70,Yes,Yes,1
27,Male,35,No,Yes,0
28,Male,41,No,No,0
74,Male,77,Yes,Yes,1
74,Male,113,Yes,Yes,0
50,Male,105,No,Yes,0
55,Male,75,Yes,No,0
59,Female,27,No,Yes,1
52,Female,102,Yes,Yes,1
47,Male,38,No,Yes,0
56,Male,41,No,Yes,0
70,Male,22,No,Yes,1
62,Female,50,No,No,0
77,Male,96,Yes,Yes,1
34,Male,64,No,No,0
75,Male,39,No,No,0
49,Male,73,No,No,0
35,Female,93,No,Yes,1
59,Male,33,No,Yes,1
66,Male,81,Yes,Yes,0
64,Female,31,No,Yes,0
48,Female,118,No,No,0
74,Male,104,No,Yes,0
31,Female,108,Yes,No,0
65,Male,62,Yes,No,1
60,Female,51,Yes,No,1
68,Male,84,Yes,Yes,0
76,Female,114,Yes,No,0
76,Female,73,Yes,Yes,1
20,Male,71,No,No,0
76,Male,67,Yes,Yes,1
25,Female,42,Yes,Yes,1
55,Male,103,Yes,Yes,0
28,Male,102,Yes,No,0
39,Male,23,No,No,0
48,Female,112,Yes,Yes,1
45,Male,98,No,Yes,0
63,Male,90,Yes,Yes,1
39,Male,69,No,No,0
52,Female,44,Yes,No,0
44,Male,79,No,Yes,0
19,Male,67,No,Yes,0
23,Male,58,No,No,1
41,Female,65,Yes,Yes,1
78,Female,94,Yes,Yes,1
76,Female,39,No,No,0
68,Female,80,No,No,0
71,Male,48,No,No,1
55,Male,25,No,Yes,1
59,Male,51,Yes,Yes,0
72,Male,94,Yes,No,1
42,Male,90,Yes,Yes,0
53,Male,25,No,No,1
49,Female,65,Yes,Yes,0
50,Male,28,No,No,1
48,Male,46,Yes,No,0
46,Male,65,Yes,Yes,1
26,Male,52,Yes,No,0
33,Male,74,Yes,No,1
34,Female,69,No,No,0
34,Male,96,Yes,Yes,1
42,Male,74,Yes,No,0
27,Female,96,Yes,Yes,0
43,Female,36,No,Yes,1
50,Male,111,Yes,Yes,0
56,Male,55,No,Yes,1
28,Female,114,Yes,Yes,0
48,Female,103,Yes,Yes,1
45,Female,63,Yes,No,1
68,Female,116,Yes,No,0
44,Male,68,No,No,0
41,Female,116,No,No,0
77,Male,63,Yes,No,1
56,Male,76,Yes,Yes,1
62,Male,44,Yes,Yes,0
67,Female,45,Yes,Yes,0
44,Male,54,Yes,Yes,1
52,Female,35,No,No,0
50,Female,33,No,Yes,0
31,Female,61,Yes,Yes,1
28,Female,81,Yes,No,0
40,Male,104,No,No,0
77,Male,46,Yes,Yes,1
20,Male,33,No,No,1
37,Male,43,Yes,No,1
70,Male,48,Yes,Yes,1
40,Male,21,No,Yes,0
18,Female,49,Yes,Yes,0
71,Male,67,No,Yes,0
32,Male,117,No,No,0
48,Male,22,No,Yes,0
42,Male,80,Yes,No,0
33,Female,23,No,No,1
54,Female,30,No,Yes,0
47,Male,44,Yes,Yes,1
72,Female,51,No,No,0
20,Female,67,No,No,0
22,Female,98,No,Yes,0
32,Female,29,No,Yes,0
62,Female,113,Yes,Yes,1
76,Male,94,No,No,0
40,Male,31,No,Yes,1
60,Male,114,Yes,No,0
63,Female,46,Yes,No,0
22,Male,44,Yes,Yes,1
47,Female,82,Yes,No,0
49,Female,35,No,Yes,0
68,Female,33,No,No,1
66,Male,52,Yes,No,1
63,Female,57,Yes,No,1
39,Female,67,No,No,0
68,Female,84,Yes,No,0
19,Male,90,Yes,Yes,1
50,Male,63,No,No,0
71,Female,73,Yes,Yes,1
33,Male,33,No,Yes,0
67,Female,33,No,Yes,0
19,Male,71,Yes,No,1
18,Female,74,Yes,Yes,1
79,Female,53,Yes,Yes,0
29,Male,112,Yes,No,0
41,Male,103,Yes,No,0
64,Male,80,No,Yes,0
25,Male,99,Yes,No,0
31,Female,54,Yes,Yes,0
35,Female,117,Yes,Yes,1
74,Male,24,No,No,1
38,Female,87,Yes,No,0
24,Female,61,Yes,Yes,1
32,Male,55,No,Yes,0
25,Male,36,No,No,1
21,Male,64,Yes,Yes,0
55,Male,50,Yes,Yes,1
65,Male,106,Yes,Yes,1
39,Female,82,Yes,No,1
60,Female,88,Yes,Yes,1
74,Female,81,Yes,No,1
30,Female,67,Yes,No,1
36,Female,34,No,No,0
77,Female,60,Yes,Yes,1
38,Female,44,No,No,1
35,Male,42,Yes,No,1
50,Male,71,Yes,Yes,0
43,Female,80,Yes,Yes,1
41,Female,43,No,No,1
21,Male,23,No,No,1
19,Male,107,No,Yes,0
59,Male,42,Yes,Yes,1
20,Female,98,No,No,0
36,Male,66,Yes,Yes,0
75,Female,48,No,Yes,0
77,Male,34,No,No,0
31,Female,100,No,Yes,0
59,Female,84,Yes,No,0
63,Female,52,Yes,Yes,1
64,Male,100,Yes,Yes,1
74,Male,72,Yes,No,0
24,Female,108,No,No,0
76,Female,28,No,Yes,1
65,Male,91,Yes,No,1
44,Male,64,Yes,Yes,1
57,Male,48,Yes,No,0
52,Female,30,No,Yes,0
72,Female,63,Yes,No,0
70,Female,68,Yes,Yes,0
44,Male,45,Yes,Yes,1
39,Female,67,No,Yes,0
33,Female,61,Yes,No,0
19,Female,34,No,Yes,1
63,Female,38,No,Yes,0
47,Female,119,No,Yes,0
60,Male,47,Yes,Yes,1
19,Female,58,Yes,Yes,1
25,Female,74,Yes,No,1
28,Male,30,No,Yes,1
75,Female,119,No,No,0
40,Male,29,No,No,0
43,Female,32,No,Yes,0
61,Female,118,Yes,Yes,0
46,Female,77,Yes,Yes,0
36,Female,89,Yes,Yes,0
